city,division,description,link,House No.,Flat No.,Area,Price per month,Number of rooms ,Floor,No. of floors,Build year,Building type,Heating system,energy_class,Nearest kindergarten,Nearest educational institution,Nearest shop,Public transport stop
Vilnius,Šnipiškės,"Vilnius, Šnipiškės, Kalvarijų g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-snipiskese-kalvariju-g-nuomojamas-kambarys-kalvariju-g-200-4-1105797/,200,,24 m²,199 €,1,12,12,1985,Brick,Central,1 Class Good (1-3),110 m,270 m,260 m,220 m
Vilnius,Šnipiškės,"Vilnius, Šnipiškės, Rinktinės g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-snipiskese-rinktines-g-ilgalaikei-nuomai-ne-maziau-kaip-vieneriems-4-1105789/,,,"42,09 m²",680 €,2,6,9,2021,Brick,Central,,310 m,260 m,310 m,40 m
Vilnius,Senamiestis,"Vilnius, Senamiestis, Savičiaus g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-saviciaus-g-vos-30-metru-nuo-rotuses-aikstes-labai-4-1105783/,9,,50 m²,600 €,2,3,4,1940,Brick,Gas,,510 m,90 m,140 m,170 m
Vilnius,Lazdynai,"Vilnius, Lazdynai, Architektų g., 4 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-lazdynuose-architektu-g-nuomojame-keturiu-kambariu-buta-lazdynuose-4-1105779/,106,,80 m²,400 €,4,5,5,"1971 construction, 2005 renovation",Block house,Central,,70 m,240 m,230 m,200 m
Vilnius,Visoriai,"Vilnius, Visoriai, Visorių g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-visoriuose-visoriu-g-nuomojamas-labai-ekonomiskas-jaukus-ir-4-1105771/,6,,45 m²,530 €,1,5,5,2000,Brick,Gas,,430 m,350 m,200 m,200 m
Vilnius,Pašilaičiai,"Vilnius, Pašilaičiai, Laisvės pr., 4 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-laisves-pr-nuomojamas-erdvus-dvieju-aukstu-4-kambariu-4-1026741/,87A,,93 m²,650 €,4,5,5,1998,Brick,Central,1 Class Good (1-3),200 m,100 m,290 m,260 m
Vilnius,Pilaitė,"Vilnius, Pilaitė, M. Mažvydo g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-m-mazvydo-g-irengtas-1-kambario-butas-pilaiteje-4-1105767/,5,,42 m²,470 €,1,2,5,2008,Block house,Central thermostat,1 Class Good (1-3),140 m,640 m,150 m,280 m
Vilnius,Šnipiškės,"Vilnius, Šnipiškės, Kalvarijų g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-snipiskese-kalvariju-g-1-kamb-buto-nuoma-isnuomojamas-1-k-butas-4-1105765/,184,,20 m²,400 €,1,1,9,1979,Brick,Central,1 Class Good (1-3),40 m,230 m,300 m,220 m
Vilnius,Naujamiestis,"Vilnius, Naujamiestis, Vinco Kudirkos g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-vinco-kudirkos-g-isnuomojamas-erdvus-ant-tauro-kalno-esantis-3-4-1105741/,18B,,98 m²,750 €,3,3,5,2001,Brick,Gas,,160 m,320 m,410 m,330 m
Vilnius,Žvėrynas,"Vilnius, Žvėrynas, Sakalų g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-zveryne-sakalu-g-isnuomojamas-jaukus-butas-su-baldais-buitine-4-1105731/,,,49 m²,650 €,2,3,4,2000,Brick,Electric,,130 m,320 m,160 m,100 m
Vilnius,Žirmūnai,"Vilnius, Žirmūnai, Žirmūnų g., Room rent",https://en.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-zirmunu-g-ramioje-vietoje-keturiu-kambariu-bute-4-1105717/,78,,18 m²,150 €,1,4,5,"1968 construction, 2014 renovation",Block house,Central,1 Class Good (1-3),90 m,430 m,150 m,220 m
Vilnius,Karoliniškės,"Vilnius, Karoliniškės, Virginijaus Druskio g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-karoliniskese-virginijaus-druskio-g-2-atskiru-kambariu-buto-nuoma-karoliniskese-4-634961/,6,,47 m²,420 €,2,2,5,1974,Block house,Central,,220 m,200 m,200 m,230 m
Vilnius,Žirmūnai,"Vilnius, Žirmūnai, Žirmūnų g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-zirmunu-g-4-1105687/,30C,,78 m²,930 €,3,1,5,2008,Brick,Central thermostat,1 Class Good (1-3),130 m,140 m,430 m,350 m
Vilnius,Lazdynėliai,"Vilnius, Lazdynėliai, Pažagiškių g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-lazdyneliuose-pazagiskiu-g-nuosavo-namo-antrame-aukste-isnuomojamas-4-1105683/,,,35 m²,400 €,1,2,2,2000,Brick,Central,,710 m,2 km,770 m,600 m
Vilnius,Antakalnis,"Vilnius, Antakalnis, Jūratės g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-jurates-g-naujai-irengtas-lofto-tipo-butas-antakalnyje-4-1105679/,,,"33,5 m²",525 €,1,2,2,"1930 construction, 2020 renovation",Wooden house,Electric,,50 m,440 m,710 m,410 m
Vilnius,Antakalnis,"Vilnius, Antakalnis, P. Vileišio g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-p-vileisio-g-nuomojamas-suremontuotas-sviesus-ir-jaukus-4-1105667/,31,,46 m²,570 €,2,3,5,1964,Block house,Central,1 Class Good (1-3),130 m,300 m,120 m,220 m
